Area,"CO2 (Kt)",Sector,Date
Chengdu,504.091037,"Ground Transport",2024-03
Chicago,958.585121,"Ground Transport",2024-03
Chongqing,1146.129459,"Ground Transport",2024-03
Copenhagen,58.373906,"Ground Transport",2024-03
Hangzhou,755.594149,"Ground Transport",2024-03
Helsinki,72.549360,"Ground Transport",2024-03
Houston,692.214452,"Ground Transport",2024-03
Istanbul,462.096184,"Ground Transport",2024-03
Jinan,293.232857,"Ground Transport",2024-03
London,598.673087,"Ground Transport",2024-03
"Los Angeles",2047.365659,"Ground Transport",2024-03
Lyon,26.901362,"Ground Transport",2024-03
Madrid,271.801172,"Ground Transport",2024-03
Marseille,24.556352,"Ground Transport",2024-03
Melbourne,445.999330,"Ground Transport",2024-03
"Mexico City",601.140337,"Ground Transport",2024-03
Miami,566.093546,"Ground Transport",2024-03
Milan,50.473727,"Ground Transport",2024-03
Moscow,186.502858,"Ground Transport",2024-03
Munich,54.357761,"Ground Transport",2024-03
Nanjing,602.210506,"Ground Transport",2024-03
"New Delhi",152.098924,"Ground Transport",2024-03
"New York",1292.859488,"Ground Transport",2024-03
Nice,14.741384,"Ground Transport",2024-03
Osaka,599.483741,"Ground Transport",2024-03
Oslo,10.295295,"Ground Transport",2024-03
Paris,312.072691,"Ground Transport",2024-03
Qingdao,445.984425,"Ground Transport",2024-03
Rome,157.835219,"Ground Transport",2024-03
"San Francisco",588.287325,"Ground Transport",2024-03
Santiago,326.839076,"Ground Transport",2024-03
Seattle,576.143416,"Ground Transport",2024-03
Seoul,940.441092,"Ground Transport",2024-03
Shanghai,1446.920979,"Ground Transport",2024-03
Stockholm,43.029903,"Ground Transport",2024-03
Sydney,321.242393,"Ground Transport",2024-03
Tokyo,975.052161,"Ground Transport",2024-03
Total,22414.285839,"Ground Transport",2024-03
Washington,800.554678,"Ground Transport",2024-03
Amsterdam,597.287750,Industry,2024-03
Bangkok,790.727127,Industry,2024-03
Barcelona,219.969035,Industry,2024-03
Beijing,7609.354824,Industry,2024-03
Berlin,224.427224,Industry,2024-03
Bogota,191.342220,Industry,2024-03
"Cape Town",708.417189,Industry,2024-03
Chengdu,4767.949747,Industry,2024-03
Chicago,3621.107845,Industry,2024-03
Chongqing,5472.100776,Industry,2024-03
Copenhagen,85.947438,Industry,2024-03
Hangzhou,3505.036923,Industry,2024-03
Helsinki,118.585211,Industry,2024-03
Houston,1996.972387,Industry,2024-03
Istanbul,772.756488,Industry,2024-03
Jinan,1999.261759,Industry,2024-03
London,647.852472,Industry,2024-03
"Los Angeles",4060.463576,Industry,2024-03
Lyon,48.660648,Industry,2024-03
Madrid,334.500850,Industry,2024-03
Marseille,50.051573,Industry,2024-03
Melbourne,740.528482,Industry,2024-03
"Mexico City",1047.256150,Industry,2024-03
Miami,1043.105299,Industry,2024-03
Milan,62.382588,Industry,2024-03
Moscow,772.454491,Industry,2024-03
Munich,81.003737,Industry,2024-03
Nanjing,4998.490208,Industry,2024-03
"New Delhi",435.228232,Industry,2024-03
"New York",3033.243004,Industry,2024-03
Nice,29.761098,Industry,2024-03
Osaka,2271.958543,Industry,2024-03
Oslo,211.242318,Industry,2024-03
Paris,551.459711,Industry,2024-03
Qingdao,1411.681610,Industry,2024-03
Rome,161.037924,Industry,2024-03
"San Francisco",1452.369902,Industry,2024-03
Santiago,294.109902,Industry,2024-03
